Cause of death,Age group,Sex,Count
Malignant neoplasms,All ages,Male,8400
Malignant neoplasms,All ages,Female,6318
Malignant neoplasms,All ages,Total,14718
Malignant neoplasms,Under 1,Male,0
Malignant neoplasms,Under 1,Female,0
Malignant neoplasms,Under 1,Total,0
Malignant neoplasms,1-4,Male,0
Malignant neoplasms,1-4,Female,1
Malignant neoplasms,1-4,Total,1
Malignant neoplasms,5-14,Male,10
Malignant neoplasms,5-14,Female,5
Malignant neoplasms,5-14,Total,15
Malignant neoplasms,15-44,Male,151
Malignant neoplasms,15-44,Female,192
Malignant neoplasms,15-44,Total,343
Malignant neoplasms,45-64,Male,1967
Malignant neoplasms,45-64,Female,1811
Malignant neoplasms,45-64,Total,3778
Malignant neoplasms,65 & above,Male,6272
Malignant neoplasms,65 & above,Female,4309
Malignant neoplasms,65 & above,Total,10581
Malignant neoplasms,Unknown,Male,0
Malignant neoplasms,Unknown,Female,0
Malignant neoplasms,Unknown,Total,0
Pneumonia,All ages,Male,5925
Pneumonia,All ages,Female,4574
Pneumonia,All ages,Total,10499
Pneumonia,Under 1,Male,0
Pneumonia,Under 1,Female,1
Pneumonia,Under 1,Total,1
Pneumonia,1-4,Male,2
Pneumonia,1-4,Female,0
Pneumonia,1-4,Total,2
Pneumonia,5-14,Male,0
Pneumonia,5-14,Female,0
Pneumonia,5-14,Total,0
Pneumonia,15-44,Male,32
Pneumonia,15-44,Female,13
Pneumonia,15-44,Total,45
Pneumonia,45-64,Male,296
Pneumonia,45-64,Female,121
Pneumonia,45-64,Total,417
Pneumonia,65 & above,Male,5595
Pneumonia,65 & above,Female,4439
Pneumonia,65 & above,Total,10034
Pneumonia,Unknown,Male,0
Pneumonia,Unknown,Female,0
Pneumonia,Unknown,Total,0
Coronavirus disease 2019,All ages,Male,5402
Coronavirus disease 2019,All ages,Female,3889
Coronavirus disease 2019,All ages,Total,9291
Coronavirus disease 2019,Under 1,Male,0
Coronavirus disease 2019,Under 1,Female,0
Coronavirus disease 2019,Under 1,Total,0
Coronavirus disease 2019,1-4,Male,1
Coronavirus disease 2019,1-4,Female,4
Coronavirus disease 2019,1-4,Total,5
