Cause of death,Age group,Sex,Count
Malignant neoplasms,All ages,Male,8617
Malignant neoplasms,All ages,Female,6171
Malignant neoplasms,All ages,Total,14788
Malignant neoplasms,Under 1,Male,2
Malignant neoplasms,Under 1,Female,1
Malignant neoplasms,Under 1,Total,3
Malignant neoplasms,1-4,Male,2
Malignant neoplasms,1-4,Female,9
Malignant neoplasms,1-4,Total,11
Malignant neoplasms,5-14,Male,6
Malignant neoplasms,5-14,Female,6
Malignant neoplasms,5-14,Total,12
Malignant neoplasms,15-44,Male,169
Malignant neoplasms,15-44,Female,194
Malignant neoplasms,15-44,Total,363
Malignant neoplasms,45-64,Male,2159
Malignant neoplasms,45-64,Female,1712
Malignant neoplasms,45-64,Total,3871
Malignant neoplasms,65 & above,Male,6275
Malignant neoplasms,65 & above,Female,4247
Malignant neoplasms,65 & above,Total,10522
Malignant neoplasms,Unknown,Male,4
Malignant neoplasms,Unknown,Female,2
Malignant neoplasms,Unknown,Total,6
Pneumonia,All ages,Male,5111
Pneumonia,All ages,Female,4262
Pneumonia,All ages,Total,9373
Pneumonia,Under 1,Male,0
Pneumonia,Under 1,Female,1
Pneumonia,Under 1,Total,1
Pneumonia,1-4,Male,1
Pneumonia,1-4,Female,0
Pneumonia,1-4,Total,1
Pneumonia,5-14,Male,1
Pneumonia,5-14,Female,2
Pneumonia,5-14,Total,3
Pneumonia,15-44,Male,26
Pneumonia,15-44,Female,23
Pneumonia,15-44,Total,49
Pneumonia,45-64,Male,314
Pneumonia,45-64,Female,114
Pneumonia,45-64,Total,428
Pneumonia,65 & above,Male,4766
Pneumonia,65 & above,Female,4121
Pneumonia,65 & above,Total,8887
Pneumonia,Unknown,Male,3
Pneumonia,Unknown,Female,1
Pneumonia,Unknown,Total,4
Diseases of heart,All ages,Male,3592
Diseases of heart,All ages,Female,2970
Diseases of heart,All ages,Total,6562
Diseases of heart,Under 1,Male,0
Diseases of heart,Under 1,Female,2
Diseases of heart,Under 1,Total,2
Diseases of heart,1-4,Male,2
Diseases of heart,1-4,Female,0
Diseases of heart,1-4,Total,2
Diseases of heart,5-14,Male,1
Diseases of heart,5-14,Female,4
Diseases of heart,5-14,Total,5
Diseases of heart,15-44,Male,77
Diseases of heart,15-44,Female,17
Diseases of heart,15-44,Total,94
Diseases of heart,45-64,Male,801
Diseases of heart,45-64,Female,181
Diseases of heart,45-64,Total,982
