Cause of death,Age group,Sex,Count
Malignant neoplasms,All ages,Male,8740
Malignant neoplasms,All ages,Female,6354
Malignant neoplasms,All ages,Total,15094
Malignant neoplasms,Under 1,Male,0
Malignant neoplasms,Under 1,Female,0
Malignant neoplasms,Under 1,Total,0
Malignant neoplasms,1-4,Male,4
Malignant neoplasms,1-4,Female,5
Malignant neoplasms,1-4,Total,9
Malignant neoplasms,5-14,Male,8
Malignant neoplasms,5-14,Female,4
Malignant neoplasms,5-14,Total,12
Malignant neoplasms,15-44,Male,146
Malignant neoplasms,15-44,Female,197
Malignant neoplasms,15-44,Total,343
Malignant neoplasms,45-64,Male,2090
Malignant neoplasms,45-64,Female,1816
Malignant neoplasms,45-64,Total,3906
Malignant neoplasms,65 & above,Male,6492
Malignant neoplasms,65 & above,Female,4332
Malignant neoplasms,65 & above,Total,10824
Malignant neoplasms,Unknown,Male,0
Malignant neoplasms,Unknown,Female,0
Malignant neoplasms,Unknown,Total,0
Pneumonia,All ages,Male,5447
Pneumonia,All ages,Female,4385
Pneumonia,All ages,Total,9832
Pneumonia,Under 1,Male,0
Pneumonia,Under 1,Female,0
Pneumonia,Under 1,Total,0
Pneumonia,1-4,Male,1
Pneumonia,1-4,Female,0
Pneumonia,1-4,Total,1
Pneumonia,5-14,Male,2
Pneumonia,5-14,Female,2
Pneumonia,5-14,Total,4
Pneumonia,15-44,Male,32
Pneumonia,15-44,Female,15
Pneumonia,15-44,Total,47
Pneumonia,45-64,Male,269
Pneumonia,45-64,Female,133
Pneumonia,45-64,Total,402
Pneumonia,65 & above,Male,5143
Pneumonia,65 & above,Female,4235
Pneumonia,65 & above,Total,9378
Pneumonia,Unknown,Male,0
Pneumonia,Unknown,Female,0
Pneumonia,Unknown,Total,0
Diseases of heart,All ages,Male,3676
Diseases of heart,All ages,Female,2919
Diseases of heart,All ages,Total,6595
Diseases of heart,Under 1,Male,0
Diseases of heart,Under 1,Female,2
Diseases of heart,Under 1,Total,2
Diseases of heart,1-4,Male,0
Diseases of heart,1-4,Female,0
Diseases of heart,1-4,Total,0
Diseases of heart,5-14,Male,1
Diseases of heart,5-14,Female,1
Diseases of heart,5-14,Total,2
Diseases of heart,15-44,Male,75
Diseases of heart,15-44,Female,26
Diseases of heart,15-44,Total,101
Diseases of heart,45-64,Male,776
Diseases of heart,45-64,Female,193
Diseases of heart,45-64,Total,969
Diseases of heart,65 & above,Male,2823
Diseases of heart,65 & above,Female,2697
Diseases of heart,65 & above,Total,5520
Diseases of heart,Unknown,Male,1
Diseases of heart,Unknown,Female,0
Diseases of heart,Unknown,Total,1
Cerebrovascular diseases,All ages,Male,1644
Cerebrovascular diseases,All ages,Female,1480
Cerebrovascular diseases,All ages,Total,3124
Cerebrovascular diseases,Under 1,Male,1
Cerebrovascular diseases,Under 1,Female,0
Cerebrovascular diseases,Under 1,Total,1
Cerebrovascular diseases,1-4,Male,0
Cerebrovascular diseases,1-4,Female,0
Cerebrovascular diseases,1-4,Total,0
Cerebrovascular diseases,5-14,Male,0
Cerebrovascular diseases,5-14,Female,0
Cerebrovascular diseases,5-14,Total,0
Cerebrovascular diseases,15-44,Male,27
Cerebrovascular diseases,15-44,Female,24
Cerebrovascular diseases,15-44,Total,51
Cerebrovascular diseases,45-64,Male,277
